[mean S1, std S1, mean Systole, std Systole, mean S2, std S2, mean Diastole, std Diastole]
[0.711, 0.626, 0.676, 1.571, 0.702, 0.651, 0.998, 0.572]
[1.953, 0.267, 1.458, 6.085, 1.359, 0.337, 0.736, 2.245]
[0.105, 0.036, 0.058, 0.029, 0.098, 0.046, 0.09, 0.041]
[1.092, 0.254, 1.043, 0.499, 0.583, 0.386, 0.715, 1.211]
[0.189, 0.074, 0.116, 0.128, 0.179, 0.079, 0.131, 0.09]
[0.652, 0.134, 0.464, 0.505, 0.608, 0.14, 0.473, 0.808]
[0.603, 0.127, 0.68, 0.154, 0.451, 0.183, 0.654, 0.161]
[0.374, 0.065, 0.291, 0.399, 0.291, 0.096, 0.358, 0.674]
[0.701, 0.24, 0.7, 0.36, 0.316, 0.213, 0.439, 0.286]
[1.264, 0.684, 1.281, 1.123, 0.44, 0.413, 0.731, 0.688]
[1.701, 0.319, 0.488, 0.422, 0.897, 0.294, 0.624, 0.347]
[0.105, 0.036, 0.058, 0.029, 0.098, 0.046, 0.09, 0.041]
[0.826, 0.121, 0.46, 0.063, 0.416, 0.211, 0.365, 0.109]
[0.238, 0.091, 0.163, 0.149, 0.193, 0.081, 0.167, 0.132]
[1.162, 0.178, 1.033, 1.27, 0.673, 0.258, 0.784, 1.844]
[0.433, 0.015, 0.089, 0.01, 0.206, 0.032, 0.146, 0.024]
[0.263, 0.059, 0.244, 1.533, 0.151, 0.044, 0.184, 1.012]
[0.291, 0.062, 0.124, 0.055, 0.229, 0.06, 0.159, 0.055]
[0.124, 0.051, 0.079, 0.037, 0.112, 0.053, 0.085, 0.055]
[0.365, 0.092, 0.198, 0.107, 0.281, 0.079, 0.23, 0.105]
