[mean S1	, std S1	, mean Systole	, std Systole	, mean S2	, std S2	, mean Diastole	, std Diastole	]
[7.852		, 10.814	, 6.068		, 29.783	, 3.5		, 4.889		, 2.898		, 6.819		]
[11.48		, 5.736		, 8.627		, 58.485	, 4.893		, 2.669		, 2.683		, 13.805	]
[3.135		, 2.427		, 2.037		, 2.277		, 1.87		, 1.573		, 1.784		, 1.474		]
[8.789		, 4.301		, 6.501		, 7.307		, 3.278		, 2.814		, 3.207		, 6.496		]
[4.487		, 3.686		, 3.157		, 6.906		, 2.179		, 1.892		, 1.963		, 2.529		]
[7.256		, 3.257		, 5.735		, 9.315		, 3.359		, 1.528		, 2.803		, 3.92		]
[7.216		, 3.321		, 6.022		, 5.327		, 2.869		, 1.641		, 3.344		, 2.528		]
[5.517		, 2.659		, 4.392		, 9.19		, 2.31		, 1.638		, 2.39		, 5.516		]
[6.67		, 6.06		, 6.305		, 9.163		, 1.815		, 2.649		, 2.197		, 2.893		]
[9.869		, 11.028	, 9.528		, 16.453	, 2.625		, 3.709		, 3.706		, 6.784		]
[10.885		, 5.459		, 5.294		, 9.84		, 3.219		, 2.107		, 2.628		, 3.061		]
[3.135		, 2.427		, 2.037		, 2.277		, 1.87		, 1.573		, 1.784		, 1.474		]
[8.426		, 2.867		, 4.519		, 2.926		, 2.964		, 1.93		, 2.673		, 1.739		]
[4.918		, 4.252		, 3.575		, 6.584		, 2.385		, 2.245		, 2.133		, 2.715		]
[9.317		, 3.916		, 8.278		, 17.426	, 3.832		, 3.17		, 3.546		, 10.238	]
[5.584		, 0.84		, 1.692		, 0.877		, 2.189		, 0.821		, 1.698		, 0.653		]
[5.536		, 2.174		, 4.805		, 40.585	, 1.712		, 0.928		, 1.973		, 13.468	]
[5.377		, 2.743		, 3.01		, 2.727		, 2.539		, 1.321		, 2.245		, 1.24		]
[3.768		, 3.07		, 2.304		, 2.611		, 1.993		, 1.667		, 1.662		, 1.832		]
[5.728		, 3.86		, 3.694		, 4.36		, 2.296		, 1.737		, 2.275		, 2.055		]
