[mean S1, std S1, skew S1, kurt S1, mean Systole, std Systole, skew Sys, kurt Sys, mean S2, std S2, skew S2, kurt S2, mean Diastole, std Diastole, skew Diastole, kurt Diastole]
[0.001  , 0.035 , 0.57   , 6.125  , 0.0         , 0.017	     , 1.35    , 40.364  , 0.001  , 0.037 , 1.01   , 13.054 , -0.0	   , 0.017	 , 0.65		, 20.004]
[-0.001 , 0.07  , -0.13  , 4.375  , 0.0		, 0.018	     , -0.23   , 15.149  , -0.0   , 0.065 , 0.83   , 5.677  , -0.0	   , 0.035	 , 0.93		, 23.206]
[-0.0   , 0.012 , -0.01  , 5.508  , -0.0	, 0.005      , -0.51   , 18.612  , 0.0    , 0.009 , 0.18   , 8.156  , 0.0 	   , 0.004	 , -0.18	, 26.436]
[-0.0   , 0.054 , -0.38  , 3.294  , -0.0	, 0.019      , 1.07    , 40.167  , -0.0   , 0.056 , 0.86   , 8.401  , 0.0	   , 0.018	 , 0.73		, 117.597]
[0.0    , 0.016 , 0.21   , 4.845  , -0.0	, 0.007      , -0.32   , 9.394   , -0.0   , 0.013 , 0.19   , 6.502  , 0.0	   , 0.006	 , 0.04		, 7.209]
[0.0    , 0.033 , 0.62   , 5.156  , -0.0	, 0.017      , 0.26    , 4.03    , 0.0    , 0.029 , 0.72   , 5.654  , -0.0	   , 0.02	 , 0.53		, 16.951]
[0.0    , 0.034 , -0.19  , 6.51   , -0.0	, 0.014      , 0.24    , 29.124  , -0.0   , 0.04  , 0.34   , 11.407 , -0.0	   , 0.01	 , -0.29	, 12.815]
[-0.0   , 0.025 , 0.29   , 4.207  , 0.0		, 0.009      , 0.18    , 15.086  , -0.0   , 0.023 , 0.57   , 6.518  , 0.0	   , 0.014	 , 0.47		, 25.897]
[0.0    , 0.037 , 1.01   , 5.181  , 0.0		, 0.012      , 0.53    , 25.536  , -0.0   , 0.039 , 1.12   , 7.299  , 0.0	   , 0.012	 , 1.04		, 32.25]
[-0.0   , 0.056 , -0.28  , 1.88   , 0.0		, 0.02       , 0.4     , 28.89   , 0.0    , 0.058 , -0.44  , 2.085  , 0.0	   , 0.022	 , 0.72		, 21.507]
[0.0    , 0.068 , 0.06   , 6.833  , -0.0	, 0.022      , 0.09    , 10.426  , -0.0   , 0.035 , 0.13   , 10.673 , 0.0	   , 0.017	 , 0.23		, 32.88]
[-0.0   , 0.012 , -0.01  , 5.508  , -0.0	, 0.005      , -0.51   , 18.612  , 0.0    , 0.009 , 0.18   , 8.156  , 0.0 	   , 0.004	 , -0.18	, 26.436]
[-0.0   , 0.041 , -0.33  , 1.844  , -0.0	, 0.012      , 1.23    , 47.041  , 0.0    , 0.031 , 1.03   , 8.059  , 0.0	   , 0.007	 , -0.09	, 80.008]
[0.0    , 0.018 , 0.09   , 5.659  , -0.0	, 0.007      , -0.22   , 8.592   , -0.0   , 0.016 , -0.07  , 6.055  , -0.0	   , 0.008	 , -0.44	, 14.839]
[0.0    , 0.053 , -0.6   , 4.51   , -0.0	, 0.015      , -0.78   , 15.627  , 0.0    , 0.052 , -0.44  , 4.194  , -0.0	   , 0.024	 , -0.1		, 28.884]
[-0.0   , 0.028 , 0.16   , 2.714  , 0.0		, 0.004      , 0.44    , 73.244  , -0.0   , 0.013 , 0.18   , 16.984 , 0.0	   , 0.002	 , -0.63	, 249.975]
[0.0    , 0.02  , -0.08  , 1.624  , 0.0		, 0.012      , 0.16    , 3.698   , 0.0    , 0.02  , 0.24   , 2.993  , -0.0	   , 0.014	 , -0.12	, 6.072]
[0.0    , 0.021 , -0.23  , 5.479  , 0.0		, 0.009      , -0.01   , 6.846   , -0.0   , 0.014 , -0.38  , 11.454 , 0.0	   , 0.008	 , -0.16	, 11.76]
[0.0    , 0.012 , -0.13  , 3.42   , -0.0	, 0.006      , -0.63   , 13.986  , -0.0   , 0.011 , 0.12   , 6.74   , 0.0	   , 0.004	 , -0.76	, 39.896]
[-0.0   , 0.025 , 0.01   , 5.994  , -0.0	, 0.009      , -1.36   , 25.656  , -0.0   , 0.019 , 0.22   , 8.616  , -0.0	   , 0.009	 , 0.04		, 7.251]
